Reaction ID,SIMMER
R12727,3.6.1;2.7.1
R06199,3.2.1
R09992,5.5.1
R00111,1.14.13;1.1.1
R10729,
R12200,2.3.1
R02865,2.7.1
R08999,1.1.1
R07226,3.5.1
R12349,2.4.1;3.2.1
R09664,3.1.3
R04538,5.1.3
R02430,2.7.1
R03731,2.1.1
R02565,1.2.1;1.17.1;1.1.1
R12496,2.3.1
R12604,1.1.1
R10293,2.4.1
R11466,3.1.8
R01321,3.7.1
R13445,1.14.13;1.3.1
R01869,1.3.1;1.1.1
R11826,4.2.3
R13412,2.5.1
R09224,1.1.1
R12468,2.3.1
R04230,2.7.1;6.3.2
R09975,4.2.3
R11560,3.5.1
R09987,1.1.1
R13442,2.6.1
R01268,3.5.1
R05279,
R04203,1.1.1
R12274,3.1.1
R07447,1.3.1;1.1.1
R06368,6.2.1;2.3.1
R06114,3.1.4;3.2.1
R01460,3.2.1
R12065,
R05551,3.5.1
R07618,1.13.12;1.3.1
R07433,2.3.1
R00224,4.1.1;4.4.1
R11162,
R01563,3.5.1;2.6.1
R02485,3.5.4
R12376,1.1.1
R11803,2.7.1
R05748,1.20.4;1.8.4
R06028,
R12291,3.5.1
R04952,3.1.1
R01850,2.3.1
R08924,6.4.1
R01231,3.5.4
R01966,3.2.1
R12039,2.3.1
R02611,1.1.1
R05113,2.4.1
R10554,5.1.3
R00273,4.1.1
R10917,1.1.1
R10554,
R09751,
R04515,
R08781,2.1.1
R05399,1.14.12;1.1.1
R09298,
R11921,3.5.1
R12761,5.3.1;4.2.1
R07072,3.3.2;3.8.1
R11032,1.5.1;1.1.1
R07913,2.4.2;2.4.1
R12936,2.6.1
R01837,1.1.1
R07170,1.5.3
R02024,
R03450,3.1.3
R01942,2.1.1
R09831,3.2.1;2.4.1
R10856,
R06132,1.21.98
R10169,2.1.1
R12447,2.1.1
R13263,1.3.1;1.1.1
R03275,5.4.3
R07649,4.2.3
R11381,5.3.3
R02777,1.1.1
R06700,3.7.1
R12737,2.3.1
R02009,4.2.3
R03997,
R08083,1.8.1;1.1.1
R05827,1.1.1
R10573,1.1.1
R07085,1.5.1;1.1.1
R12087,
R01609,
R01676,3.5.4
R10778,3.5.2
R10534,3.5.5;3.13.1
R02368,3.1.1
R02961,2.1.1
R00529,2.7.7
R10529,2.3.1
R00838,3.2.1;2.4.1
R08150,3.1.1;3.1.8
R04182,2.4.1
R09618,4.2.3
R13315,6.4.1;6.3.2
R03036,6.3.2;2.7.7
R06788,1.13.11
R03409,2.7.7;2.7.1
R00909,3.5.1;3.5.2
R09914,5.4.99
R02098,2.7.1
R10124,3.5.1
R09825,2.6.1
R03810,3.5.4;3.5.1
R01574,1.1.1
R12744,2.4.1
R10588,2.1.1
R05133,3.2.1
R03858,2.3.1
R04463,2.7.3;6.3.4;6.3.2;2.7.1
R02551,3.5.1
R05315,1.1.1
R02071,2.7.1
R09810,1.13.11
R03213,2.4.1
R10629,3.2.2
R10110,1.13.11
R08808,2.3.1
R10457,2.5.1
R11107,1.14.13;1.1.1
R04678,1.1.1
R12303,3.7.1
R10741,1.14.11
R02973,3.5.1
R00102,3.2.2
R04280,4.1.1
R03685,5.4.99
R10001,
R03718,2.3.1
R09737,2.1.1
R00277,1.4.3
R11860,4.2.3
R13347,5.4.99;5.5.1
R12930,
R04703,
R10442,3.6.1;3.1.3
R04717,2.1.1
R01299,1.14.19;1.1.1
R12285,2.5.1
R09201,1.3.1;1.14.12;1.1.1
R04482,5.3.2
R01028,3.1.6
R03721,2.1.1
R00700,1.14.13;1.1.1
R01393,4.1.1
R04239,1.4.3
R03854,4.1.1
R11037,
R00734,2.6.1
R12828,1.14.13;1.1.1
R01731,2.6.1
R00944,2.1.2
R04843,1.1.1
R03032,5.3.1;4.2.1
R03797,2.4.1
R03488,
R01432,5.4.99;5.3.1
R01152,3.5.1;3.5.3
R00931,2.3.3;2.3.1
R05188,2.3.1
R10037,2.4.1
R03681,2.4.1
R00212,2.3.1
R12963,2.4.1
R05837,1.1.1
R12453,1.3.1
R03062,3.1.1
R04526,2.4.2;2.4.1
R02999,1.14.19;1.14.13;1.1.1
R07250,2.3.1
R02969,1.14.13;1.17.1;1.14.12;1.1.1
R08846,1.5.1;1.1.1
R07918,
R02340,4.1.2
R04162,3.1.3
R09601,1.13.11
R12915,2.3.1
R11029,2.7.7
R12755,2.7.1
R05724,1.17.1;1.14.12;1.1.1
R11933,2.7.1
R10328,1.10.3
R00832,2.3.1
R02003,2.5.1;4.2.3
R12488,2.8.3;4.2.1
R03638,1.14.13;1.1.1
R04391,2.7.1
R03490,2.4.1
R03133,
R05674,2.1.1
R03260,3.5.1
R03502,2.6.1
R12161,2.5.1
R00228,1.2.1
R12204,2.7.1
R04285,1.1.1
R05227,2.7.3;2.7.7;2.7.1
R00684,2.6.1
R00706,1.2.1
R12467,
R10280,5.1.3
R02040,3.4.13;3.5.1
R03303,1.13.11
R10901,3.5.1
R03020,2.1.2
R07416,6.2.1;2.3.1
R03353,5.3.3
R03540,3.5.1
R01863,2.4.2
R00662,3.6.1
R03331,3.2.1;5.4.99;2.4.1
R03498,1.1.1
R00507,3.6.1;3.1.3
R00216,1.1.1
R04656,2.4.1
R00439,2.4.2
R07481,2.1.1
R07089,1.14.13;1.1.1
R02016,
R03831,
R01561,2.4.2
R09710,5.4.99
R12426,3.4.23
R05271,1.14.12;1.1.1
R06450,3.2.1;2.4.1
R01204,2.3.1
R00908,2.6.1
R01336,4.1.2
R12792,2.7.1
R04101,3.8.1
R03153,4.1.3;2.8.3
R01050,2.7.1
R06048,2.4.1
R00959,5.4.2
R05684,1.3.1;1.1.1
R11121,1.3.1
R00912,6.3.2;2.7.1
R12562,2.7.7;2.4.1
R04082,2.4.1
R11971,
R02119,2.4.2;2.4.1
R13408,1.2.1;1.3.1;1.1.1
R00230,2.3.1
R05522,1.14.13;1.1.1
R11278,2.4.1
R02811,4.1.2
R09668,2.4.2
R12489,2.8.3;4.2.1
R03756,2.3.1
R03759,1.4.1;1.1.1
R08391,1.5.1;1.1.1
R00735,6.3.2
R11338,1.1.1
R09818,1.1.1
R13371,3.1.3
R08986,
R12164,3.8.1
R07351,1.1.1
R03315,2.7.1
R03094,2.4.1
R13182,2.1.1
R01064,4.1.2
R03438,2.3.1
R13349,1.1.1
R08204,1.1.1
R09708,4.2.1
R12053,1.1.1
R00449,4.1.1
R04654,2.4.1
R11062,3.6.1
R00489,4.1.1
R09804,2.4.1
R02107,3.5.1
R10259,2.4.1;3.2.1
R08628,4.2.1;4.1.2
R00022,3.2.1
R08816,2.4.1
R02445,1.14.20
R00703,1.14.13;1.17.1;1.14.12;1.1.1
R11945,1.2.1;1.1.1
R06161,
R03826,1.1.1
R03251,1.14.12;1.3.1;1.1.1
R01926,2.7.1
R03901,4.5.1
R01917,6.3.1
R07194,1.14.13;1.17.1;1.1.1
R09990,1.14.13;1.1.1
R09620,4.2.3
R00985,5.4.4
R04726,
R05507,2.6.1
R08353,6.3.1
R11329,5.1.3
R11024,2.7.1
R05262,1.5.1;1.1.1
R04346,2.4.2
R11946,3.5.1
R12002,
R01211,1.14.12;1.1.1
R11230,2.1.1
R03622,
R00911,3.4.13;3.5.1
R12312,6.4.1;6.3.2
R12296,5.4.99
R04692,2.1.1
R04945,3.1.1
R10368,1.3.1
R12554,5.1.3
R10296,2.4.1;3.2.1
R02135,3.1.3;3.1.4
R03984,
R09593,6.3.2
R09529,2.4.1
R00063,
R10163,1.5.1;1.1.1
R02677,2.7.7;2.4.2;2.4.1
R04242,3.4.17
R07959,1.3.1;1.1.1
R07903,2.4.1
R01648,2.6.1
R03130,2.1.1
R00057,5.1.3
R04809,4.2.1
R09108,3.1.1;3.1.8
R01492,2.7.1
R04425,4.1.3;4.2.1
R02492,1.14.13;1.17.1;1.1.1
R03965,2.3.1
R02087,5.1.3
R00923,4.1.1
R03917,
R01446,1.14.12;1.1.1
R00391,2.3.1
R01735,1.14.12;1.1.1
R12363,4.2.3
R07989,2.3.1
R05502,5.1.3
R09069,1.1.1
R07000,1.1.1
R06571,1.1.1
R06789,3.7.1
R13253,3.2.1
R08936,
R11385,1.3.1;1.14.13;1.1.1
R12261,4.2.3
R02324,2.7.1
R00126,2.7.7
R10647,2.1.1
R07295,3.8.1
R08987,2.1.1
R01261,4.1.2
R10928,3.1.8
R08695,4.2.3
R02075,1.13.11
R00375,2.7.7
R07188,1.14.12;1.1.1
R01280,2.3.1
R04632,2.4.1
R10973,3.1.4;3.1.3
R02196,1.4.1;1.14.13;1.1.1
R12343,2.6.1
R07080,1.3.1;1.5.1;1.1.1
R03030,4.3.1;4.2.1
R05568,3.5.4
R12626,2.3.1
R01409,4.1.2
R00594,2.1.1
R00466,1.2.3
R07001,1.1.1
R11995,3.4.21
R04810,1.1.1
R07679,
R10655,3.6.1
R09667,2.4.1
R10496,2.7.7;6.3.1
R11087,2.5.1
R02039,1.17.1;1.1.1
R09331,2.4.1
R12438,1.10.3
R04260,5.3.3
R08056,4.2.1
R06419,1.3.1;1.1.1
R11221,2.1.1
R10822,2.7.7
R11160,2.5.1
R04095,
R05402,1.11.1
R01018,2.7.1
R01055,4.2.1
R04474,3.2.1
R01649,
R10543,3.1.4
R07954,1.3.1;1.1.1
R01901,2.7.1
R09714,5.5.1
R07863,1.13.11
R01799,2.7.7
R05658,3.3.2
R11582,2.7.7
R12390,
R11188,3.1.4;3.1.3
R09936,3.5.4
R10878,1.3.1
R03482,3.5.1
R01860,4.1.1
R09564,1.11.2;1.11.1
R06586,2.6.1
R03913,1.2.1;1.1.1
R07360,
R04643,3.1.4
R09673,3.1.1;3.5.1
R06412,4.2.1
R04547,
R00836,2.4.1
R03987,3.1.4
R08678,
R00226,4.1.1
R01090,2.6.1
R08060,3.5.1;3.5.4
R04534,1.5.1;1.1.1
R07082,3.3.2
R00707,1.2.1;1.1.1
R09957,1.1.1
R05637,3.1.4;2.7.7
R11543,
R01804,2.5.1
R01401,
R13260,
R12474,
R06322,1.14.20;1.14.11
R09407,1.14.13;1.1.1
R09628,4.2.3
R01924,3.1.1
R10824,2.1.1
R13158,2.4.1
R12916,2.4.1
R10389,1.7.3
R04513,3.1.7;3.1.3
R05783,3.5.1
R09740,4.2.1
R12778,1.14.11
R08167,
R08623,2.3.3;2.3.1
R05437,1.14.13;1.1.1
R05038,1.1.1
R12237,1.14.13;1.1.1
R11639,3.3.2
R00418,5.1.3
R06906,4.2.1
R10185,2.4.2
R10398,3.1.1
R01415,1.14.13;1.1.1
R02322,3.5.1
R02408,4.4.1
R11722,5.3.1
R07970,1.3.1;1.1.1
R02148,3.1.4
R12799,
R03114,1.3.1;1.1.1
R08807,2.3.1
R12861,6.3.2
R02914,
R03751,3.1.1
R02473,3.6.1
R04728,
R01757,1.1.1
R01441,2.7.1
R04867,2.1.1
R05299,1.13.11
R10279,5.1.3
R12541,
R09968,4.2.3
R06817,2.3.1
R07995,5.5.1
R09986,1.1.1
R06393,3.1.1
R04398,2.1.1
R03565,2.4.2;2.4.1
R10998,2.3.1
R08480,2.7.1
R02576,2.3.1
R07296,2.3.1
R06821,2.3.1
R01600,2.7.1
R01633,1.3.1;1.1.1
R05312,1.3.1;1.1.1
R08630,
R10959,2.1.1
R02367,2.3.1
R13124,3.2.1
R03991,2.3.1
R06688,1.14.13;1.1.1
R08400,2.5.1;4.2.3
R10143,1.14.11;1.14.20
R10098,2.4.1
R03227,1.1.1
R10424,2.4.1
R01327,2.7.1
R10813,2.4.1
R12977,3.1.1
R08147,2.1.1
R02978,1.3.1;1.1.1
R12553,5.1.3
R02618,1.4.1;1.1.1
R13318,6.4.1;6.3.2
R01586,
R05701,1.1.1
R12791,3.1.2;2.3.1
R09444,3.1.7
R00603,5.1.3
R00767,2.7.1
R03176,1.1.1
R12723,3.6.1;2.7.1
R08621,1.1.1
R03366,2.1.1
R01967,2.7.1
R06563,1.5.1;1.1.1
R10843,1.13.11
R12633,3.6.1
R06963,5.5.1
R07252,2.3.1
R12900,5.4.99
R02416,2.3.1
R12989,3.5.1
R11708,2.3.3;2.3.1
R08978,3.2.1
R02241,2.3.1
R01109,1.8.4
R04323,4.1.1
R01302,4.1.3
R02965,1.11.1
R04431,2.4.1
R11347,1.14.12;1.1.1
R12537,3.1.1
R03381,1.2.1
R03493,4.2.1
R01989,3.5.3
R00664,2.3.1
R00294,5.1.3
R03430,3.1.3
R11834,4.2.3
R00406,2.8.3
R02401,1.2.1;1.1.1
R00146,1.14.13;1.1.1
R13153,2.4.1
R13081,3.2.1
R09505,1.11.1
R04145,2.1.1
R02862,2.1.1
R00805,3.1.3
R02287,3.5.4
R04390,1.3.1;1.5.1;1.1.1
R08228,3.5.1
R08765,3.4.21
R03193,2.7.1
R13321,1.13.11
R08684,1.14.13;1.1.1
R12244,1.21.98
R05801,2.7.1
R10970,2.7.1
R02410,3.2.1;2.4.1
R10829,2.4.1
R06523,4.2.3
R07092,3.5.1
R07952,1.1.1
R05453,4.1.1;2.7.1
R12344,2.7.1
R11785,3.1.3
R11203,2.7.7
R08339,5.5.1
R13444,1.3.1;1.1.1
R03522,
R02285,3.5.3
R10452,2.1.1
R00648,4.4.1;2.6.1
R02773,2.6.1
R05311,1.3.1
R09087,3.6.1
R05362,
R12250,3.2.1
R10941,6.3.2
R07912,2.4.1
R12639,2.5.1
R11313,3.5.1
R07331,2.1.1
R06818,2.4.1
R04509,2.7.4;2.7.1
R09886,4.2.3
R00809,2.4.1
R02762,1.14.13;1.1.1
R05238,3.5.5;3.5.1
R05713,1.14.13;1.1.1
R11100,
R11243,1.1.1
R12017,3.2.2;2.4.2;2.4.1
R00850,3.2.1;3.1.3;5.4.2
R05683,1.1.1
R13384,
R06940,3.5.3
R04662,2.4.1
R06805,2.4.1
R08090,4.1.3;2.8.3
R04022,2.3.1
R06583,2.3.1
R09555,1.14.13;1.3.1
R05314,1.14.12;1.1.1
R13268,5.3.3
R10836,2.4.2
R04602,1.13.11
R08206,1.14.13;1.1.1
R10310,1.1.1
R11190,3.5.1;3.4.19
R00310,5.1.3
R07079,1.7.1;1.5.1;1.1.1
R10960,2.3.1
R07352,1.5.1;1.1.1
R08318,3.5.1
R01682,4.1.1
R13345,1.14.13;1.5.1;1.1.1
R08113,1.14.12;1.1.1
R04467,2.6.1
R07258,2.4.1
R10103,1.4.3
R08951,2.5.1
R04093,4.99.1
R09295,5.4.99
R00715,1.5.1;1.1.1
R10634,
R05424,4.99.1
R08245,2.4.2
R02361,3.2.1
R05163,2.3.1
R11193,2.1.1
R12634,3.2.1
R11373,1.2.1;1.14.13;1.1.1
R04707,2.1.1
R07287,3.1.4
R12515,3.1.1
R01319,2.3.1
R04228,1.2.1;1.3.1;1.1.1
R13159,2.4.1
R07272,2.5.1
R05218,3.5.1;3.5.4
R13317,6.4.1;6.3.2
R02605,4.3.1
R12207,2.4.2;2.4.1
R07147,1.3.1;1.1.1
R02727,2.4.1
R11718,4.1.2
R01683,1.5.1;1.1.1
R10343,2.8.3
R05323,2.1.1
R08262,2.4.1
R05451,6.2.1;2.3.1
R07651,3.5.4;3.5.1
R05352,1.14.12;1.1.1
R12425,5.1.3
R08276,1.5.3
R03573,2.4.1
R06363,
R09730,2.5.1
R06290,1.5.1;1.1.1
R12022,3.5.4
R04372,3.1.3
R04544,1.13.11
R05117,2.4.1
R00652,2.6.1
R04674,1.4.3
R08294,1.14.13;1.1.1
R02406,6.2.1;2.3.1
R09989,1.1.1
R03024,3.1.3;3.1.8
R00982,6.2.1;2.3.1
R13366,3.5.2
R00624,1.14.13;1.17.1;1.1.1
R10200,2.3.1
R11505,1.6.3
R12617,3.5.4
R06174,1.10.3
R04885,
R06420,1.3.1;1.1.1
R09838,1.14.13;1.3.1
R05307,1.1.1
R08112,1.14.12;1.1.1
R03230,2.3.1
R01003,3.1.3
R13274,3.6.1;2.7.1
R08932,2.1.1
R07814,3.1.1
R07052,1.5.1;1.1.1
R03627,5.3.3
R06497,2.4.1
R00739,5.4.3
R04361,2.3.1
R10700,2.3.1
R08819,2.4.1
R09129,1.1.1
R09327,
R12493,2.8.3
R11192,2.1.1
R04592,
R03700,3.1.4
R11781,2.3.1
R03799,2.5.1
R02979,
R09961,4.2.3
R10392,4.2.1
R07281,4.1.99
R07534,5.3.3;5.5.1
R07346,1.1.1
R10972,3.1.4;3.1.3
R04362,3.1.4
R10145,1.14.20;1.14.11
R11504,1.6.3;1.1.1
R10417,1.14.13;1.1.1
R11343,
R01473,5.1.3
R00053,1.13.11
R05552,3.8.1;3.5.99
R02778,3.1.3
R06770,2.4.1
R12384,2.4.1
R07672,5.1.3
R09820,1.2.1;1.14.13;1.1.1
R09835,4.2.1;4.1.99
R00420,5.1.3
R05565,3.5.4
R10692,1.3.1
R09136,3.1.1;5.5.1
R13232,4.2.3
R07960,1.3.1;1.1.1
R07612,4.99.1
R06988,5.4.4
R13119,5.3.3
R12779,6.3.5
R08181,2.3.1
R07249,2.3.1
R06160,
R01544,5.5.1
R09184,
R03271,2.5.1
R02585,3.1.6;3.1.8
R06166,1.1.1
R04789,1.14.13;1.1.1
R06977,2.6.1
R04313,3.4.13
R04205,2.3.1
R00308,3.2.1
R02057,4.1.2
R07310,5.4.99
R10696,4.2.1
R05626,2.7.1;6.4.1
R04716,2.1.1
R01488,1.1.1
R01325,4.2.1
R12549,2.3.1
R12061,
R09889,4.2.3
R12467,
R06719,2.1.1
R11513,4.2.1
R10742,
R08903,2.6.1
R04457,
R06376,1.1.1
R08462,3.1.1
R12976,1.1.3
R12958,3.1.3
R11492,1.10.3
R04216,2.4.1
R02751,3.1.4;5.4.2;3.1.3
R00486,
R02030,5.3.1;2.7.7
R10208,
R09750,1.5.1;1.1.1
R01793,1.3.1;1.1.1
R13287,5.3.2
R04505,2.1.1
R04994,2.1.1
R12268,3.1.1
R02974,3.5.4;3.5.1
R03393,3.1.4;3.1.3
R08635,2.6.1;2.1.1
R08101,1.14.12;1.3.1;1.1.1
R12527,3.2.1
R09280,1.2.1
R02165,3.1.1
R06814,2.4.2;2.4.1
R07168,1.5.1
R10285,
R10220,3.4.21
R00511,3.1.3
R09397,2.7.7;3.6.1
R05083,2.4.1
R02242,2.3.1
R12359,1.1.1
R12021,5.4.99
R04558,4.3.2
R06399,1.1.1
R11299,2.6.1
R02158,2.4.1
R09596,6.3.2
R04279,1.1.1
R05362,3.7.1
R03562,1.14.13;1.1.1
R01431,1.1.1
R01999,3.1.2;2.3.1
R09894,4.2.3
R08370,4.2.3
R00376,
R00192,3.3.1;2.5.1
R02849,2.7.1
R05408,3.1.1
R02648,3.1.3
R08218,2.7.7;2.4.1
R11717,4.1.1
R08964,3.6.1
R01695,5.3.1
R02446,5.5.1
R11770,1.1.1
R06831,1.3.1;1.14.12;1.1.1
R07141,1.1.1
R01579,3.5.1
R07741,2.3.1
R03486,2.4.1
R08901,3.5.1
R04998,3.2.1
R09676,2.4.1
R01867,4.3.1;4.2.1
R10558,1.13.11
R08547,2.1.1
R11086,2.5.1
R12865,2.1.2
R08705,1.1.1
R09246,2.5.1
R02541,3.1.1
R08499,1.1.1
R11589,
R09198,1.1.1
R05233,1.14.13;1.17.1;1.1.1
R00301,1.1.1
R02687,3.1.1
R02626,2.7.3;6.3.4;2.7.1
R00337,2.4.1
R01975,1.1.1
R01573,2.7.1
R05773,4.1.3;4.1.2
R03792,1.14.12;1.1.1
R10050,2.2.1
R09533,3.2.1
R00223,4.3.1;4.4.1
R01185,3.1.3
R04648,2.4.1
R10426,2.4.1
R00120,1.11.1;1.8.4
R06856,1.3.1;1.14.12;1.1.1
R10975,
R06967,3.5.4
R10092,4.2.1
R08969,
R00132,4.2.1
R11586,2.3.1
R06847,1.1.1
R11201,2.3.1
R09242,1.14.19;1.1.1
R05294,1.14.12;1.1.1
R02926,3.2.1
R10783,1.1.1
R01320,2.1.1
R05055,3.4.13
R00821,4.1.1
R06917,1.14.12;1.1.1
R10898,4.2.3
R09734,2.4.1
R04741,1.1.1
R10508,5.5.1
R04356,2.3.1
R01712,2.6.1
R05109,2.4.1
R00027,4.1.2
R12478,3.5.1
R08824,2.4.1
R09380,3.1.1
R07050,1.5.1;1.1.1
R08128,2.4.2;2.4.1
R10075,1.3.1;1.1.1
R06469,5.4.99
R08918,1.1.1
R06379,1.1.1
R03716,1.5.1;1.1.1
R09840,2.3.1
R12050,4.2.3
R05641,1.2.1;1.14.13;1.1.1
R07867,1.13.11
R12265,1.2.1;1.14.13;1.1.1
R01738,1.1.1
R09782,1.13.11;5.5.1
R11591,1.10.3
R06736,2.3.1
R11282,2.4.1
R01340,
R02136,2.7.1
R07266,2.4.1
R08830,2.4.1
R08341,3.5.4
R08926,1.1.1
R03049,3.1.1
R03014,2.7.1
R10805,3.1.7
R01909,2.7.1
