Reaction ID,SIMMER
R09264,1.5.1;1.14.13;1.1.1
R13306,5.3.3
R02349,1.1.1
R11284,3.2.1
R06622,1.14.13;1.1.1
R00432,6.2.1;2.3.1
R09279,6.2.1;2.3.1
R05687,1.1.1
R08550,1.2.1;1.14.13
R04863,5.3.1
R05417,1.3.1;1.14.12;1.1.1
R06835,3.1.1;5.5.1
R12877,1.14.19;1.1.1
R01724,6.3.4
R00723,3.6.1
R10040,3.2.1
R07706,1.14.12;1.1.1
R12539,1.1.1
R05865,1.13.11
R10578,1.13.11
R04103,
R10109,1.13.11
R11232,1.8.1;1.1.1
R09416,1.3.1;1.5.1;1.1.1
R02355,1.1.1
R06157,3.5.1
R03299,1.14.12;1.14.13;1.1.1
R08529,3.1.4
R06214,1.21.98
R10738,3.1.8
R11899,4.4.1
R03111,2.1.1
R05782,4.2.1
R10559,1.13.11
R06356,5.3.3
R01031,4.3.1;4.4.1
R12407,1.14.11
R08769,2.1.1
R11162,
R03856,1.3.1
R01066,4.1.2
R06269,2.5.1
R00537,4.1.2
R04455,
R00043,1.13.11
R06927,1.14.13;1.14.12;1.1.1
R11862,3.5.1
R06206,
R12336,2.1.1
R08295,
R06180,1.3.1;1.1.1
R00481,
R00705,1.2.1
R00549,2.7.1
R11090,2.7.3
R09102,
R04901,1.1.1
R05634,2.7.1
R09189,2.1.1
R10157,1.14.11
R13395,3.4.16
R12588,2.5.1
R00209,1.2.1
R03983,3.5.3
R07920,2.1.1
R07747,1.5.1;1.1.1
R00710,1.14.13;1.14.12;1.1.1
R04321,3.1.4
R05292,1.14.12;1.1.1
R03770,2.7.1
R00725,2.7.1
R11393,
R07996,1.14.11
R09063,2.1.1
R01573,
R00543,
R04315,5.4.99
R12741,
R00578,3.6.1;2.7.1
R11073,5.1.3
R11842,4.2.3
R03546,4.2.1;3.5.1
R04495,2.4.1
R09973,4.2.3
R02925,
R03609,3.4.13
R03365,1.13.11
R06923,4.1.2;3.7.1
R06470,1.1.1
R07175,1.8.1;1.3.1;2.3.1
R13038,3.5.1
R04610,2.4.1
R09291,1.3.1;1.1.1
R07907,3.2.1
R08610,1.14.11
R13195,
R08541,4.2.3
R10564,2.3.1;2.8.3
R01030,3.1.4
R03550,1.13.11
R10178,2.6.1
R04142,1.5.1;1.1.1
R11183,2.7.1
R11972,2.4.1
R05385,4.5.1
R03542,3.4.17
R05861,2.6.1
R04470,3.2.1
R00205,1.14.13;1.1.1
R09711,5.4.99
R10976,3.5.1
R10422,1.1.1
R07794,3.5.99
R12013,1.14.13;1.1.1
R00471,
R07321,5.3.99
R04617,6.3.1;6.3.2
R03138,3.2.1
R07627,3.3.2;3.8.1
R05573,3.5.4
R10710,2.1.1
R07111,3.3.2
R04410,3.2.1
R02356,1.1.1
R10021,1.1.1
R01171,1.3.1
R09939,2.1.1
R09805,1.14.12;1.1.1
R07392,5.3.1
R06074,2.4.1
R05123,2.1.1
R13303,2.5.1
R12734,3.1.2;2.3.1
R13199,5.3.1
R12794,5.3.1;3.1.3
R09248,2.5.1
R02498,1.3.1;1.1.1
R12108,1.3.1
R10033,4.1.1
R00919,1.3.1
R03140,4.1.1;4.1.2
R12512,1.3.1;1.1.1
R03633,2.1.1
R03778,2.3.1
R08303,1.14.13;1.1.1
R00334,2.7.4;2.7.7;2.7.1
R00434,2.7.1
R04444,1.14.12;1.1.1
R00131,3.5.1
R06578,2.1.1
R10234,2.3.1
R12885,1.3.1;1.1.1
R03745,1.1.1
R04794,3.2.1
R02018,
R03186,1.11.1;1.1.3
R04507,2.3.1
R00401,5.1.3
R06680,2.1.1
R11310,5.4.2
R12924,3.5.1;3.5.2
R04198,1.1.1
R11279,2.7.1
R11191,2.1.1
R10668,
R00001,5.1.3
R01259,
R13247,1.10.3
R09916,5.4.99
R11209,3.5.1
R01494,3.4.13;3.5.1
R00227,2.3.1
R02880,1.3.3
R13416,2.3.1
R12943,3.6.1
R05237,3.5.5;3.5.1
R03488,2.4.1
R03458,1.1.1
R06840,5.5.1
R08984,
R05676,2.1.1
R03975,3.5.1
R08898,2.4.2;2.4.1
R12538,
R04575,2.4.1
R07039,5.4.4
R12199,2.3.1
R02896,1.1.1
R03435,3.1.4;3.2.1
R05364,3.7.1
R02252,1.5.1;1.1.1
R07524,2.1.1
R01153,2.1.1
R00866,2.7.1
R05880,3.1.1
R00980,1.14.19;1.1.1
R10251,2.1.1
R09510,1.14.11
R10643,4.2.1
R08960,1.1.1
R09877,3.6.1
R01498,3.2.1
R11353,4.1.1
R02712,3.5.1
R01288,3.1.4
R09086,3.6.1;3.1.3
R08721,1.3.1;1.1.1
R10785,1.1.1
R04722,5.1.3
R10286,5.4.3
R01015,5.3.1
R09899,4.2.3
R00665,2.1.3
R13109,
R10915,4.99.1
R09390,1.1.1
R02209,1.3.1;1.1.1
R08545,4.2.3
R05759,2.1.1
R06920,5.3.2
R09616,4.2.3
R06979,3.5.1
R02598,2.7.7;2.4.1
R03796,3.5.99;3.8.1
R02200,3.5.4
R08467,2.1.1
R00588,2.6.1
R01573,
R08633,4.3.1;4.4.1
R08094,1.1.1
R07440,1.1.1
R07332,2.4.1
R10161,1.3.1
R02627,2.1.1
R11208,3.5.1
R10217,1.14.13;1.14.12;1.1.1
R07865,1.13.11
R04199,1.3.1;1.1.1
R12532,2.7.7;2.7.1
R11457,3.5.1;3.5.4
R02021,
R09059,4.2.1
R05327,6.3.2;2.4.1
R01203,
R07426,2.4.1
R11471,1.1.1
R05602,4.2.1
R09768,5.3.1;4.1.2
R01940,
R12095,3.2.1
R11555,2.4.1
R07688,4.5.1
R04169,2.1.1
R01596,1.13.11
R04866,2.1.1
R11925,
R00431,4.1.1;2.7.1
R04185,1.3.1;1.1.1
R07973,1.3.1;1.1.1
R02601,5.3.3;4.2.1
R07359,1.3.1
R03367,4.1.1
R10704,1.14.13;1.1.1
R00457,2.6.1
R04596,2.4.1
R10466,3.5.3
R12090,1.3.1;1.5.1;1.1.1
R02644,5.3.3
R12198,2.3.1
R12004,5.5.1
R06022,2.4.1
R07053,1.13.11
R00743,4.1.1
R01976,1.1.1
R10579,3.2.1;2.4.1
R02586,3.6.1
R08136,3.3.2
R11917,4.1.1
R09509,
R11965,3.4.16
R07251,1.1.1;1.2.1
R07533,2.1.1
R08512,4.99.1
R03088,1.3.1;1.1.1
R02315,1.5.1;1.1.1
R06530,
R04061,1.13.11
R08723,1.3.1;1.1.1
R00014,
R06451,2.4.1
R06424,5.3.2
R06349,5.3.3
R00026,3.2.1
R12598,6.3.1
R12787,3.5.4
R03081,4.1.2
R09774,2.4.2;2.4.1
R00441,
R13379,3.5.99
R07364,5.3.2
R07405,5.4.99;3.5.4
R06886,
R01582,2.6.1
R10611,
R04494,2.4.1
R10784,3.2.1
R03415,3.3.2;3.1.1
R06643,2.3.1
R10117,5.3.99;5.3.3
R06621,1.1.1
R00575,2.7.3;2.7.1
R13178,3.2.1
R11529,3.7.1
R02528,1.14.13;1.1.1
R11052,1.13.11
R09893,4.2.3
R00914,2.3.1
R12650,1.14.11
R02197,
R06336,1.14.11
R02520,
R05362,
R12257,3.8.1
R05221,2.7.1
R11050,1.4.3;1.5.3
R01424,3.5.1
R11281,3.1.3
R00957,2.4.1
R01520,1.1.1
R04429,1.5.1;1.3.1;1.1.1
R00514,3.6.1;3.1.3
R03545,1.14.13;1.1.1
R08120,3.1.1
R11103,5.1.3
R00332,3.6.1
R03680,2.4.1
R08293,3.5.4
R07543,4.2.1;5.5.1
R01764,4.1.1
R12606,2.6.1
R13177,1.2.1
R10689,3.1.1
R10142,2.3.1
R02908,1.4.3
R00655,5.1.3
R10252,2.1.1
R10554,
R04291,2.7.7;2.4.1
R01556,2.3.1
R09683,4.2.1;2.6.1
R03742,2.3.1
R00207,4.1.1
R01884,3.5.4;3.5.2
R12059,2.7.7
R09965,4.2.3
R09168,3.3.2
R00990,4.1.1
R05765,4.2.3
R10126,1.2.1;1.1.1
R11584,2.3.1
R06740,1.4.3
R02144,2.1.1
R02194,2.3.1
R03360,3.1.6
R04405,2.1.1
R05389,5.3.2
R13293,4.2.3;2.5.1
R12695,2.7.1
R01632,1.13.11
R03645,1.13.11
R03640,1.14.11
R02248,3.1.3
R03595,3.6.1;2.7.1
R06078,3.2.1
R03626,1.13.11
R01470,3.1.4
R01010,3.1.3
R13046,3.5.1
R11171,3.1.3
R02320,2.7.7
R07169,1.14.13;1.1.1
R02338,3.5.1
R12927,5.4.99;3.2.1
R13352,3.5.1
R12481,3.4.17
R12740,
R07337,2.4.2;2.4.1
R02227,2.7.1
R03801,3.2.1;2.4.1
R10962,2.1.1
R03962,1.5.1;1.1.1
R03706,3.2.1
R10846,5.4.1
R12969,3.2.1
R01980,2.7.1
R04543,1.3.1;1.1.1
R08579,5.1.3
R09103,4.1.2
R05368,5.1.3
R02658,2.7.1
R07924,3.4.17
R13375,
R02457,2.6.1
R12148,3.6.1;2.7.1
R03997,1.14.13;1.1.1
R10055,1.23.5;5.3.99
R02924,
R10797,
R02467,1.13.11
R03102,1.2.1;1.1.1
R10134,3.2.1
R09244,2.5.1
R13052,3.2.1
R03869,1.14.12;1.1.1
R00453,2.6.1
R02622,3.5.1
R12429,3.6.1;2.7.1
R11119,1.4.3
R10122,1.5.1;1.14.13;1.1.1
R11045,2.1.1
R09895,4.2.3
R03667,1.5.1;1.1.1
R10934,4.2.1
R03997,
R10446,1.14.11
R01008,2.4.1
R05629,2.4.1
R10171,2.3.1
R09736,2.1.1
R09376,1.1.1
R08287,
R01806,2.3.1
R10203,3.5.1;3.5.4
R03120,2.6.1
R03154,2.8.3
R08232,2.7.1
R03512,
R07060,1.1.1
R12690,3.5.1;3.4.22
R06802,2.4.1
R03634,3.2.1;2.4.1
R12144,5.3.1;1.1.3
R13148,1.14.13;1.1.1
R02447,2.3.1
R12037,2.4.1
R02298,2.4.2
R11328,4.3.1
R12340,2.4.1
R00042,4.1.1
R13377,1.1.1
R02894,1.4.3
R00637,1.4.3
R03925,5.1.3
R00615,3.6.1
R07081,1.7.1;1.5.1;1.1.1
R10530,3.2.1
R00200,2.7.1
R07914,2.4.1
R06915,1.14.12;1.14.13;1.1.1
R02668,3.7.1
R12711,4.2.1
R07990,5.5.1
R12842,2.1.1
R04566,1.3.1;1.1.1
R04478,4.2.1
R10367,1.3.1
R00426,3.6.1
R02409,3.1.1
R04751,
R03349,1.1.1
R00688,1.3.1;1.1.1
R02810,1.11.1
R13248,
R12114,3.1.3
R09245,2.5.1
R09724,
R07376,3.1.1
R07311,5.99.1
R05300,5.5.1
R02621,3.5.3
R08600,3.1.1
R05226,3.5.1
R12624,3.5.1;3.5.2
R08217,2.7.1
R08231,2.4.2
R03245,2.7.4;2.7.1
R12929,2.1.1
R10870,3.2.1
R13031,1.1.1
R10951,2.7.7
R04035,3.6.1
R07178,
R05336,2.8.3
R11106,3.5.4
R10250,2.1.1
R09735,2.7.7
R10651,2.1.1
R03613,3.6.1;2.7.1
R05248,
R00643,1.3.3;1.1.3
R09766,
R11528,
R00118,3.1.3
R11878,5.5.1
R02600,1.14.13;1.1.1
R12797,3.1.3
R03456,2.1.1
R02590,2.7.7
R11290,1.1.1
R03637,1.14.12;1.1.1
R08694,3.2.1
R10752,3.4.17
R11549,
R05409,1.13.11
R02991,3.1.1
R07872,
R06891,1.3.1;1.14.12;1.1.1
R12397,
R10494,3.2.1
R09226,3.1.1
R04721,5.1.3
R03921,3.2.1;2.4.1
R01082,4.2.1
R07336,2.1.2;2.4.1
R13272,5.3.3
R00873,
R12998,2.7.7;2.7.1
R10911,1.10.3
R04586,2.4.1
R06161,3.2.1
R11629,6.4.1;6.3.2
R02596,
R00399,2.3.1
R05156,1.14.12;1.1.1
R09392,3.7.1;3.1.1
R11229,2.7.1
R04466,2.3.1
R02481,2.3.1
R07527,2.1.1
R09918,5.5.1
R03127,4.1.1
R11162,3.5.1;3.5.4
R09462,
R03879,1.1.1
R12011,2.1.1
R07797,3.1.4
R06077,3.2.1
R01029,3.1.1
R08979,3.1.1
R00429,3.6.1
R01227,3.1.3
R09704,5.1.3
R07384,4.6.1
R02370,3.1.4;3.1.3
R06546,2.4.1
R11309,3.2.1
R01083,4.3.2
R12320,1.14.13;1.17.1;1.14.12;1.1.1
R13012,1.14.20;1.14.11
R02476,1.1.1
R13310,4.2.3
R07404,6.3.4;2.7.1
R01332,3.2.1
R05666,1.14.12;1.1.1
R11151,1.5.1
R00518,2.7.4;2.7.3
R05168,3.5.1
R02923,2.6.1
R01928,2.4.1
R08051,2.5.1
R12919,
R09617,4.2.3
R12146,1.1.1
R01138,2.7.1
R10247,
R04333,4.2.1;3.2.1
R06487,2.4.1
R04883,1.1.1
R06213,1.13.12;5.5.1
R08538,2.1.1
R11540,3.7.1
R02150,1.4.3
R00535,
R06689,1.14.13;1.1.1
R03526,2.4.1
R06893,3.1.1
R13160,2.4.1
R00271,2.3.3;2.3.1
R09272,
R12603,1.21.98
R02804,5.1.3
R11623,5.1.3
R02533,2.1.1
R02943,2.5.1
R07713,4.1.2
R13185,3.5.4
R01525,1.1.1
R02813,4.1.1
R06973,4.1.1
R05839,2.6.1
R01881,2.7.3;2.7.1
R02490,2.8.3
R11402,2.7.7
R04812,1.1.1
R03313,1.2.1;1.1.1
R12806,6.3.1;2.4.1
R12533,3.6.1
R04581,2.4.1
R00181,3.5.4
R05318,5.1.3
R13250,1.16.3;1.13.11
R03943,2.1.1
R00861,1.14.13
R02911,2.3.1
R04322,2.4.1
R13285,
R04331,2.4.1
R08937,2.1.3
R10088,4.3.3
R13267,1.3.1;1.1.1
R10967,2.3.1
R07957,1.3.1;1.1.1
R04355,
R10015,
R07896,
R02037,2.1.1
R00997,2.6.1
R13043,
R03139,1.4.3
R06414,2.3.1
R02389,2.4.1
R00208,
R07214,1.14.17;1.14.11
R01659,4.2.3
R02505,2.3.1
R09461,1.1.1
R00268,4.1.1
R10734,4.2.3
R04962,1.5.1;1.14.13;1.1.1
R04894,1.4.3
R02092,3.6.1
R08575,2.2.1
R06951,5.3.99
R06515,6.2.1;2.3.1
R06513,4.2.1;4.1.1
R02163,1.2.1;1.1.1
R04777,2.3.1
R06310,2.3.1
R07967,1.3.1;1.1.1
R04384,
R00608,1.8.3
R01122,2.5.1
R06943,
R03192,1.1.1
R12689,
R08859,2.4.1
R00473,4.1.3
R10717,1.1.1
R13193,1.11.1;1.13.11
R07599,
R09265,5.5.1
R06383,1.1.1
R10996,5.5.1
R00846,5.3.1
R12076,1.14.20
R06728,3.1.1
R10263,2.4.1
R08115,1.13.11
R05241,1.3.1;1.1.1
R12460,1.14.11
R10732,4.2.3
R02595,3.2.1
R04016,2.4.1
R05150,1.3.1
R12222,
R12615,1.14.11
R08574,2.7.1
R01686,3.5.3
R13189,6.3.2;2.7.1
R12602,
R03018,2.7.1
R05422,1.14.12;1.3.1;1.1.1
R08185,2.3.1
R00693,2.3.1
R02769,2.5.1
R07300,3.5.3
R04025,1.4.3
R12400,1.1.1
R07793,5.4.4
R08626,
R01503,2.7.1
R04608,3.1.1;3.1.8
R06589,5.3.1
R12940,2.7.1
R11311,3.2.1
R01169,2.1.1
R09068,3.1.1
R06758,1.13.11
R11869,5.5.1
R05061,3.2.1
R04834,1.1.1
R02383,1.1.1
R13048,3.1.7
R03488,
R06971,3.5.4
R11374,1.2.1;1.14.13;1.1.1
R01717,5.3.2
R04859,
R05296,
R00772,5.3.1
R06983,1.1.1
R04473,3.1.6;3.1.1
R06278,1.13.11
R13391,3.4.16
R06904,
R00599,2.1.1
R06496,2.4.1
R00365,1.14.13;1.17.1;1.14.12;1.1.1
R10287,5.4.3
R05720,1.13.11
R12485,6.2.1;2.3.1
R13432,3.5.1
R04257,5.4.4
R02516,1.14.13;1.1.1
R12746,2.7.1
R12348,2.4.1
R04112,3.5.1
R01898,5.4.99;5.3.1
R04857,3.5.1;3.5.2
R04159,3.5.2
R06073,4.1.2
R06543,1.14.13;1.1.1
R08966,2.7.7
R13383,1.3.1;1.1.1
R03728,1.3.1;1.1.1
R06517,2.3.1
R02449,1.14.13
R08347,
R08384,1.2.3
R12292,1.3.98
R08613,3.2.1
R11776,1.3.1;1.1.1
R08973,2.1.1
R00833,5.4.99;4.1.3
R02326,2.7.4
R06816,2.1.1
R01856,2.7.1
R02027,3.1.3
R00506,2.4.1
R12881,2.5.1
R12827,1.5.1;1.3.1;1.1.1
R07884,2.3.1
R01890,
R08386,2.3.1
R05213,2.1.1
R01669,2.1.2
R01113,1.8.4
R05643,1.2.1;1.1.1
R12048,1.3.1
R10939,5.3.1
R09254,2.6.1
R07386,
R07839,5.3.2
R12636,2.4.1
R08686,4.4.1
R04037,
R11788,2.4.1;3.2.1
R02529,1.4.3
R03583,1.1.1
R12360,1.1.1
R10356,1.14.13;1.1.1
R05313,1.3.1;1.1.1
R04824,1.1.1
R05075,2.3.1
R04522,4.5.1
R10943,6.3.2
R09946,2.7.1
R02103,1.3.1;1.1.1
R01376,3.5.1
R10135,3.1.1
R02272,5.4.3;2.6.1
R13286,1.14.13;1.1.1
R02167,3.1.3
R09187,1.3.3
R13011,1.14.11
R10380,2.5.1
R01504,2.7.7
R09561,1.8.1
R09562,
R10767,2.7.1
R01451,1.1.1
R05878,1.5.1;1.1.1
R09694,4.2.1
R02594,2.4.1
R04951,3.4.13
R10897,4.2.3
R10850,2.4.1
R03417,3.1.1
R07636,2.7.7
R11472,1.1.1
R05430,1.14.13;1.1.1
R10937,4.2.3
R02512,5.1.3
R00499,3.1.2
R01715,5.4.99
R01350,3.1.1
R03936,
R06161,
R04332,2.1.1
R06793,
R09796,
R07927,2.3.1
R12330,2.7.1
R10955,2.4.1
R04620,3.6.1
R06812,2.4.2;2.4.1
R00161,2.7.7
R13167,
R09528,2.3.1
R08850,3.4.17;3.4.16
R11333,5.3.1
R09138,1.5.1;1.1.1
R07823,2.4.1
R00299,2.7.1
R00539,3.6.1
R02610,1.3.1;1.1.1
R07083,3.4.21
R07753,2.4.1
R04141,3.1.1
R07938,2.3.1
R13356,2.1.1
R04029,2.6.1
R10298,2.4.1;3.2.1
R01106,
R09195,3.6.1
R12749,3.1.3
R08324,
R03427,3.1.3
R12968,6.2.1;2.3.1
R05440,1.3.1;1.14.12;1.1.1
R04732,4.1.1
R03264,1.1.1
R04496,2.1.1
R00442,2.7.7
R01160,2.3.1
R05112,2.4.1
R12984,2.4.1
R04768,
R01316,
R03054,1.1.1
R02971,2.7.1
R01349,2.1.1
R04040,5.5.1
R13359,2.8.3
R12160,2.4.1
R03944,2.7.1
R13313,4.2.3
R10051,3.7.1;5.5.1
R03803,3.1.1;3.1.4
R09190,1.14.13
R00388,5.4.1;4.2.1
R01627,4.2.1
R09932,1.1.1
R02780,3.1.3
R02577,1.14.13;1.1.1
R02118,2.4.1
R01374,1.10.3
R12819,
R12618,3.5.4
R09808,5.1.3
R05864,4.2.1
R09849,2.7.1
R08081,1.14.20
R05166,3.2.1;2.4.1
R12899,3.5.1
R09520,1.5.1;1.14.13
R07635,3.2.1;3.1.4
R07324,5.5.1
R07048,1.5.1;1.1.1
R08697,4.2.3
R06854,
R09112,
R08271,1.3.1;1.5.1;1.1.1
R09315,
R07831,
R01495,2.7.1
R08952,2.5.1
R02863,
R01134,1.5.1;1.1.1
R03776,1.3.1
R02050,2.6.1
R12596,6.3.1
R11306,2.4.1
R01344,4.1.2
R10282,5.1.3
R04927,3.6.1
R07630,4.2.3
R08215,1.1.1
R09958,4.1.1
R01910,1.1.3
R12000,
R03090,1.1.1
R11180,3.1.3
R07255,2.3.1
R11773,2.8.3
R00555,2.4.2
R04108,2.4.1
R04835,1.1.1
R06377,1.1.1
R07229,
R10393,4.2.1
R06610,1.1.1
R06323,1.14.11
R06142,
R09611,2.1.1
R07267,2.5.1
R01778,1.1.1
R02655,1.14.12;1.1.1
R05706,1.5.1
R01759,1.1.1
R02709,2.4.1
R05690,1.5.1;1.1.1
R00686,3.6.1;2.7.1
R12506,3.5.3
R04895,4.2.1
R02421,2.4.1
R05111,2.4.1
R00853,2.4.1
R08314,3.3.2
R07974,1.3.1;1.1.1
R01472,2.4.2;2.4.1
R03229,2.1.1
R05421,3.1.8
R12467,2.3.1
R04588,2.8.3
R05141,3.2.1;2.4.1
R10576,
R03407,1.3.1;1.1.1
R09132,1.3.1;1.1.1
R00119,
R08188,2.3.1
R08380,1.3.1;1.1.1
R10153,5.4.3;5.1.1
R07110,3.3.2
R08957,1.1.1
R10982,1.1.1
R02454,1.1.1
R05433,1.3.1;1.1.1
R03374,2.3.1
R12619,3.5.4
R08310,1.14.12;1.1.1
R07397,2.4.1
R08522,1.21.98
R10605,2.1.1
